type_target,average_similarity,std_similarity,n_rows
Intense Tomato,0.717948717948718,0.0,6
Cherry Plum Tomato,0.7628205128205128,0.0,2
Capsicum,0.8026315789473685,0.09706545422630314,19
Zucchini,0.8333333333333334,0.0,2
Beef Tomato,0.8333333333333334,,1
Celery,0.8333333333333334,,1
Green bean,0.84375,,1
Cherry Tomato,0.8541666666666667,0.04166666666666661,4
Cucumber,0.8553613053613053,0.06539674809461124,22
Pickle,0.8571428571428572,,1
Aubergines,0.8585858585858586,0.07025468557193713,4
Radish,0.875,0.058925565098878904,2
Apples,0.8787579744816587,0.04296869359988485,24
Garlic,0.9,,1
Leek,0.9166666666666666,0.0,4
Onions,0.9166666666666666,0.0,3
Cherry Vine Tomato,0.9283154121863798,0.06699249777808161,6
Vine Tomato,0.9522058823529411,0.042239431224544335,4
Carrots,0.9608585858585857,0.0018939393939393348,9
